surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
Cox,650,Spain,Female,32,4,79450.09,1,1,1,118324.75,0
Lori,639,Spain,Male,34,7,149940.04,2,0,0,156648.81,0
Atkins,653,France,Male,47,6,0.0,1,1,0,50695.93,1
Lori,810,Germany,Male,35,3,96814.46,2,1,1,120511.03,0
Aksenov,808,France,Female,33,2,103516.87,1,1,0,113907.8,0
Chan,718,Germany,Male,43,5,132615.73,2,1,0,32999.1,0
Murphy,703,Spain,Male,36,7,135095.47,1,1,0,143859.66,0
Miller,526,Germany,Male,31,5,145537.21,1,1,0,132404.64,0
Moss,784,Spain,Female,42,2,109052.04,2,1,0,6409.55,0
Bradbury,502,Germany,Female,33,6,125241.17,2,1,1,158736.07,0
Ebelegbulam,807,France,Male,47,1,95120.59,1,0,0,127875.1,0
Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1
McMillan,687,France,Female,36,4,97157.96,1,0,1,63185.05,0
Wei,739,France,Male,37,7,104960.46,1,0,1,80883.82,0
Carpenter,483,France,Female,44,5,136836.49,1,1,0,192359.9,1
Mai,528,Germany,Male,22,5,93547.23,2,0,1,961.57,0
Ridley,698,France,Male,33,5,135658.73,2,0,1,39755.0,0
Balashov,585,Germany,Male,44,7,163867.86,1,1,1,112333.22,0
Sinclair,569,Spain,Female,51,3,0.0,3,1,0,75084.96,1
Hs?eh,668,Germany,Female,46,7,161806.09,1,1,1,173052.19,0
Ch'ien,587,France,Male,33,5,100116.82,1,1,0,34215.58,0
Veale,552,Germany,Male,39,2,132906.88,1,0,1,149384.43,0
Barnes,506,Spain,Male,35,6,110046.93,2,1,0,26318.73,0
Colebatch,577,France,Male,29,7,0.0,2,1,1,55473.15,0
Hobbs,816,Germany,Female,25,2,150355.35,2,1,1,35770.84,0
McNaughtan,771,Spain,Female,47,3,72664.0,2,1,1,107874.39,0
Packham,775,Spain,Male,27,4,0.0,1,1,1,40807.26,0
Tsou,679,France,Female,24,6,114948.76,2,0,1,135768.25,0
Shih,789,France,Male,37,3,0.0,1,1,0,121883.87,1
Boyd,772,Germany,Male,30,6,99785.28,2,0,0,197238.03,0
Wallace,663,France,Female,39,8,0.0,2,1,1,101168.9,0
Greco,573,France,Female,26,4,129109.02,1,0,0,149814.68,1
Sheehan,827,Germany,Female,47,8,143001.5,2,1,0,108977.5,0
Chukwuemeka,813,Spain,Male,27,1,137275.36,1,0,1,115733.16,0
Gorbunov,678,France,Male,40,1,0.0,2,1,1,187343.4,0
Chinonyelum,604,France,Male,34,7,0.0,2,1,1,188078.55,0
Li,643,France,Female,46,6,0.0,2,0,0,106781.59,0
Galkin,645,Spain,Male,38,1,68079.8,1,0,1,166264.89,0
Robinson,600,Germany,Male,30,2,119755.0,1,1,1,21852.91,0
Franz,787,Germany,Male,43,0,132217.45,1,1,0,20955.03,1
Zhdanova,656,France,Male,63,8,0.0,2,0,1,57014.43,0
Jones,850,Germany,Female,36,0,136980.23,2,1,1,99019.65,0
Greenwalt,715,France,Male,21,6,76467.16,1,1,1,173511.72,0
Alexander,776,Spain,Male,35,8,106365.29,1,1,1,148527.56,0
Yu,662,France,Female,41,4,0.0,2,1,0,126551.48,0
Azuka,667,France,Female,37,9,71786.9,2,1,1,67734.79,0
Preston,499,France,Female,57,1,0.0,1,0,0,131372.38,1
Cavill,749,Spain,Female,28,3,0.0,1,1,0,3408.7,0
Wollstonecraft,725,Germany,Female,47,1,104887.43,1,0,0,86622.56,1
Chinweuba,529,France,Female,29,8,0.0,2,1,0,19842.11,0
Aksenov,532,France,Female,40,5,0.0,2,0,1,177099.71,0
Thompson,617,France,Male,25,1,102585.88,2,1,1,115387.4,0
Greco,850,France,Female,34,6,101266.51,1,1,0,33501.98,0
Diggs,620,Germany,Female,25,1,137712.01,1,1,1,76197.05,0
Tochukwu,444,France,Male,43,3,0.0,2,1,1,159131.21,0
Greco,641,Germany,Male,35,2,103711.56,1,0,1,192464.21,1
Gibson,565,Germany,Female,47,10,139756.12,1,1,0,165849.49,1
Lange,465,France,Male,25,2,78247.31,2,1,1,10472.31,0
Stokes,747,France,Male,49,6,202904.64,1,1,1,17298.72,1
Hung,838,Spain,Male,35,0,0.0,2,0,1,197305.91,0
Romano,794,Spain,Female,46,8,134593.79,1,1,1,46386.37,0
Ch'ang,507,France,Female,35,2,0.0,2,1,0,97633.93,0
K'ung,703,France,Male,36,2,0.0,2,1,0,108790.95,0
Law,628,France,Male,25,7,0.0,2,1,1,195977.75,0
Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
Paterson,570,France,Male,32,9,117337.54,2,0,1,62810.91,0
Morant,633,Spain,Female,33,4,92855.02,1,1,1,159813.18,0
T'ao,661,Spain,Male,20,8,0.0,1,1,0,110252.53,0
H?,644,France,Female,40,10,139180.97,1,1,1,19959.67,0
Yeh,724,France,Female,37,10,68598.56,1,1,0,157862.82,0
Thompson,850,France,Male,35,3,162442.35,1,1,0,183566.78,0
Campbell,533,Germany,Male,51,6,127545.56,2,0,0,79559.02,1
Lord,730,Spain,Male,29,2,0.0,2,1,0,14174.09,0
Ch'iu,600,France,Male,40,1,141136.79,1,1,1,67803.83,0
Worsnop,788,France,Male,32,4,112079.58,1,0,0,89368.59,0
Williamson,543,Spain,Female,46,5,140355.6,1,1,1,85086.78,0
Ku,615,France,Female,23,4,0.0,2,1,0,196476.19,0
Amadi,850,France,Male,19,8,0.0,1,1,1,68569.89,0
Onyekachukwu,668,France,Female,35,6,102482.76,1,1,1,53994.64,0
Chou,503,France,Female,37,8,0.0,2,1,1,97893.32,0
Hancock,637,Germany,Male,30,1,122185.53,1,1,0,102566.46,1
Yirawala,767,France,Female,44,2,152509.25,1,1,1,136915.15,0
Ni,850,Germany,Male,27,1,101278.25,2,1,1,26265.18,0
Macdonald,596,France,Male,21,4,210433.08,2,0,1,197297.77,1
Johnson,642,Spain,Male,26,8,144238.7,1,1,1,184399.76,0
Wood,634,Germany,Male,74,5,108891.7,1,1,0,10078.02,0
Ko,405,Germany,Male,31,5,133299.67,2,1,1,72950.14,0
Bergamaschi,504,France,Female,73,8,0.0,1,1,1,34595.58,0
Elewechi,687,France,Female,30,6,0.0,2,0,0,179206.92,0
Ekwueme,747,Germany,Male,38,2,129728.6,1,1,0,89289.54,0
North,687,Germany,Female,47,1,91219.29,1,0,0,158845.49,1
Onwuatuegwu,627,Germany,Male,27,0,185267.45,2,1,1,77027.34,0
Austin,550,Spain,Female,33,9,72788.03,1,1,1,103608.06,0
Lawrence,486,Spain,Male,24,1,0.0,1,1,0,98802.76,0
Kalinina,567,France,Female,23,9,93522.2,1,0,1,81425.61,0
Ma,580,Germany,Female,33,7,131647.01,2,0,0,79775.19,0
Martin,770,Spain,Male,30,8,0.0,2,0,1,50839.85,0
Garland,663,Germany,Female,37,8,155303.71,1,1,0,118716.63,0
Jamieson,535,France,Female,31,7,111855.04,2,1,1,36278.89,0
Pickering,624,Spain,Female,36,10,0.0,2,0,1,186180.42,0
Thornton,673,Spain,Male,43,8,127132.96,1,0,1,6009.27,1
Law,850,Germany,Female,47,10,134381.52,1,0,0,26812.89,1
Younger,625,France,Male,45,7,137555.44,1,0,0,124607.7,0
Hay,512,France,Male,24,6,0.0,2,1,0,37654.31,0
Walker,602,France,Male,23,7,113758.48,2,0,0,84077.6,0
Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
Okonkwo,550,Germany,Male,35,9,129847.75,2,1,0,197325.4,0
Gibson,641,France,Male,41,6,0.0,2,1,0,65396.79,0
Howells,511,Spain,Female,29,9,0.0,2,0,1,140676.98,0
Burns,663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1
Ferguson,626,France,Female,52,0,0.0,2,1,0,32159.46,1
Ubanwa,652,Spain,Male,31,1,132862.59,1,0,0,158054.49,0
Cunningham,705,France,Female,48,0,0.0,2,0,0,149772.61,0
Arcuri,575,France,Male,29,4,121823.4,2,1,1,50368.87,0
Sutherland,487,France,Male,37,6,0.0,2,1,1,126477.41,0
Nixon,711,France,Female,29,3,130181.47,2,1,0,31811.44,0
Oldham,474,France,Male,45,10,0.0,2,0,0,172175.9,0
Bruno,540,Spain,Male,39,2,0.0,2,1,0,81995.92,0
Aliyeva,698,Spain,Male,38,10,95010.92,1,1,1,105227.86,0
Chizoba,788,Spain,Male,36,10,109632.85,1,1,1,16149.13,0
Trevisani,599,France,Female,41,2,91328.71,1,1,0,115724.78,0
Young,611,France,Male,49,3,0.0,2,1,1,142917.54,0
Bailey,447,France,Male,43,2,0.0,2,1,0,33879.26,1
Skinner,657,France,Female,37,2,0.0,2,1,1,7667.48,0
Jamieson,562,France,Male,45,6,136855.24,1,1,0,46864.0,0
Savage,605,Spain,Male,41,5,103154.66,1,0,0,143203.78,0
Wang,646,Germany,Female,29,4,105957.44,1,1,0,15470.91,0
Tuan,613,Spain,Male,39,8,118201.41,1,1,0,23315.59,0
Eiland,850,Spain,Male,22,3,0.0,1,1,1,144385.54,0
Pinto,576,France,Female,52,9,170228.59,2,0,0,148477.57,1
White,636,Germany,Male,36,6,96643.32,1,0,0,182059.28,0
Lori,590,France,Male,24,7,126431.54,1,1,0,58781.11,0
Chinweike,761,Germany,Female,38,1,120530.13,2,1,0,109394.62,0
Iloerika,452,France,Female,35,8,0.0,2,1,1,149614.81,0
Hawes,788,Germany,Female,49,4,137455.99,1,1,0,184178.29,1
Lewis,730,France,Female,35,0,155470.55,1,1,1,53718.28,0
Kellway,739,Germany,Male,29,3,59385.98,2,1,1,105533.96,0
Reid,714,Spain,Male,29,9,0.0,2,1,0,129192.55,0
Montemayor,777,Spain,Female,35,3,0.0,2,1,1,17257.72,0
Ku,589,Germany,Female,19,9,83495.11,1,1,1,143022.31,1
Patterson,680,Spain,Female,58,8,0.0,2,1,1,65708.5,0
Kao,587,Germany,Female,45,8,134980.74,1,1,1,123309.57,1
L?,596,Germany,Male,40,5,62389.03,3,1,0,148623.43,1
Duncan,583,France,Female,42,4,0.0,2,1,0,17439.66,0
McNeill,748,France,Male,32,5,154737.88,2,1,1,172638.13,0
Dreyer,732,France,Female,43,6,0.0,2,1,0,65731.53,0
Ch'ien,720,France,Male,26,10,51962.91,2,1,0,45507.24,0
Davide,621,France,Female,50,5,0.0,2,1,0,191756.54,1
Brim,532,Spain,Female,66,3,0.0,1,1,1,115227.02,0
Henderson,713,Spain,Female,47,1,0.0,1,1,0,107825.08,1
Onyemauchechukwu,473,Germany,Female,32,5,146602.25,2,1,1,72946.95,0
Manna,595,France,Female,33,9,0.0,2,1,1,41447.86,0
Gray,793,France,Male,39,3,137817.52,1,0,0,83997.79,0
Murray,598,Spain,Male,27,8,90721.52,2,1,0,109296.18,0
Udinese,843,France,Female,27,5,0.0,2,1,1,67494.23,0
Kerr,729,France,Female,32,7,38550.06,1,0,1,179230.23,0
Fisk,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,0
Romani,735,Germany,Male,46,2,106344.95,1,1,0,114371.33,1
Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
Miller,738,Spain,Male,49,3,0.0,3,1,1,65066.48,1
Ma,602,France,Male,31,7,155271.83,1,1,1,179446.31,0
Fallaci,829,France,Male,38,9,0.0,2,1,0,30529.88,0
Stevens,749,France,Female,33,1,74385.98,1,1,0,20164.47,0
Toscani,714,Germany,Female,35,6,126077.43,2,1,1,53954.24,0
Peng,718,France,Female,29,3,0.0,1,0,1,134462.29,0
Fiorentini,712,Germany,Male,43,1,141749.74,2,0,1,90905.26,0
Patel,612,France,Male,32,3,121394.42,1,1,0,164081.42,0
Henderson,723,France,Male,34,5,0.0,2,0,1,12092.03,0
Leckie,768,Germany,Male,37,9,108308.11,1,1,0,41788.25,1
Wade,666,France,Male,46,5,123873.19,1,1,1,177844.06,0
Y?an,705,Spain,Female,39,8,144102.32,1,1,1,11682.36,0
Wallace,743,Germany,Male,39,3,119695.75,1,0,1,26136.13,0
Lettiere,630,Germany,Female,23,4,137964.51,1,0,1,174570.55,0
Clarke,585,Spain,Female,56,1,128472.8,1,1,0,186476.91,1
Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1
Chiemenam,679,France,Female,44,3,118742.74,2,1,0,1568.91,0
Fan,436,Germany,Male,45,3,104339.11,2,1,1,183540.22,1
Angelo,599,Germany,Male,46,9,123444.72,1,1,1,31368.08,1
Siciliano,754,France,Male,61,5,146622.35,1,1,1,41815.22,1
Butler,652,Germany,Female,58,3,116353.2,2,0,1,193502.9,0
Arkwookerum,712,Germany,Male,27,8,113174.21,2,1,0,147261.58,0
Yobachukwu,623,France,Female,24,7,148167.83,2,1,1,109470.34,0
Blackall,698,France,Female,27,1,94920.71,1,1,1,40339.9,0
Briggs,524,Spain,Male,29,3,159035.45,1,1,0,2705.31,1
Tseng,615,Spain,Male,51,6,81818.49,1,1,1,169149.38,0
Fuller,592,France,Male,54,8,0.0,1,1,1,28737.71,1
Crawford,629,France,Female,61,6,0.0,2,1,1,133672.61,0
Brooks,727,France,Male,61,0,128213.96,2,1,1,188729.08,1
Ajuluchukwu,611,Germany,Female,49,9,115488.52,2,1,1,138656.81,1
Donaghy,637,Germany,Male,50,4,126345.55,1,0,1,17323.0,1
Reed,709,France,Male,32,4,147307.91,1,0,1,40861.55,0
Hawkins,752,Germany,Female,42,3,65046.08,2,0,1,140139.28,0
Milanesi,718,France,Female,31,1,152663.77,1,0,1,17128.64,0
Ku,618,France,Female,40,0,0.0,1,1,0,119059.13,0
Duncan,745,France,Female,46,7,0.0,2,1,1,67769.94,0
O'Sullivan,712,France,Male,23,2,0.0,2,0,1,66795.78,0
Artemieva,733,Germany,Male,74,3,106545.53,1,1,1,134589.58,0
Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0
Nebechukwu,670,France,Male,37,2,0.0,2,1,1,54229.74,0
Su,508,Germany,Female,41,5,82161.7,2,1,0,187776.49,0
Owens,617,France,Female,24,4,137295.19,2,1,1,91195.12,0
Browne,754,Spain,Female,27,8,0.0,2,0,0,121821.16,0
Chen,616,France,Male,44,5,102016.38,1,0,1,178235.37,1
Zubarev,749,France,Female,26,6,0.0,2,0,1,34948.77,0
Howarth,608,France,Female,41,5,0.0,2,1,1,72462.25,0
Woods,742,France,Male,31,4,105239.1,1,1,1,19700.24,0
Boni,515,France,Male,40,0,109542.29,1,1,1,166370.81,0
Bryan,613,France,Male,34,5,144094.2,1,1,0,44510.26,0
Berry,579,Spain,Female,39,2,151963.26,2,1,0,158948.63,0
Yen,681,France,Male,59,4,122781.51,1,0,1,140166.95,0
Su,850,Germany,Female,36,6,143644.16,1,1,0,22102.25,1
Anderson,675,France,Male,35,8,0.0,2,1,1,56642.97,0
Tsou,689,Germany,Female,55,1,76296.81,1,1,0,42364.75,1
Fontaine,685,France,Male,23,8,0.0,2,1,1,112239.03,0
Jose,573,Germany,Female,47,4,152522.47,1,0,1,164038.07,1
Parsons,554,Germany,Female,36,3,157780.93,2,1,0,6089.13,0
Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
Forbes,682,Germany,Female,43,7,111094.05,2,1,1,64679.3,0
Lucchesi,677,France,Male,36,4,0.0,2,1,0,7824.31,0
Lai,708,France,Female,59,2,0.0,1,1,0,179673.11,1
Hobson,597,Germany,Male,52,8,83693.34,2,1,1,161083.53,0
Capon,638,Germany,Female,33,5,129335.65,1,1,1,56585.2,1
Golovanov,508,France,Male,26,7,205962.0,1,1,0,156424.4,0
Bowhay,593,France,Male,43,9,0.0,2,1,1,76357.43,0
Tang,497,France,Male,47,6,0.0,1,1,1,90055.08,0
Milanesi,850,France,Male,38,5,0.0,2,1,0,16491.64,0
Chizoba,524,France,Male,29,7,0.0,2,1,1,105448.74,0
Wardell,715,France,Male,32,8,175307.32,1,1,0,187051.23,0
Huang,743,France,Male,43,5,0.0,2,0,0,113079.19,1
Manna,749,Spain,Female,46,9,66582.81,1,1,0,78753.12,1
Obiora,548,Spain,Male,37,4,0.0,1,1,0,121763.68,0
Willis,489,France,Female,47,8,103894.38,2,1,1,107625.46,0
Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1
Angelo,693,Spain,Male,28,1,145118.83,1,0,1,77742.38,0
Onwuamaeze,530,Germany,Male,23,1,137060.88,2,1,1,165227.23,0
Ann,675,France,Female,32,2,155663.31,1,1,0,97658.66,0
Williams,549,France,Male,50,9,94748.76,2,0,1,13608.18,0
Lo,729,Germany,Female,42,4,97495.8,2,0,0,2002.5,0
Romani,816,Spain,Male,67,6,151858.98,1,1,1,72814.31,0
Champion,680,France,Male,44,7,108724.98,1,0,1,72330.46,0
Knowles,581,France,Male,71,4,0.0,2,1,1,197562.08,0
K'ung,569,Spain,Female,34,6,144855.34,1,0,0,196555.32,0
Foster,761,Spain,Female,32,4,103515.39,2,1,1,177622.38,0
Wilson,646,France,Male,52,8,59669.43,1,0,0,172495.81,1
Onyemachukwu,543,Germany,Female,25,1,146566.01,1,0,1,161407.48,0
Johnston,754,Spain,Male,35,4,0.0,2,1,1,9658.41,0
Macleod,539,France,Female,47,2,127286.04,2,1,1,166929.43,1
Kao,605,France,Female,33,4,0.0,2,0,1,83700.66,0
McIntyre,567,France,Male,42,2,0.0,2,1,1,167984.61,0
Iweobiegbunam,574,Spain,Male,52,7,115532.52,1,1,0,196257.67,0
Hill,580,France,Female,23,5,113923.81,2,0,0,196241.43,0
Ko,648,Spain,Female,43,7,81153.82,1,1,1,144532.85,1
Steinhoff,673,Spain,Female,37,8,0.0,2,1,1,183318.79,0
Bergamaschi,700,Spain,Male,28,8,159900.38,1,0,0,22698.56,0
Clark,726,France,Female,38,5,126875.62,1,1,0,128052.29,0
Clarke,533,Spain,Female,52,7,0.0,1,0,1,194113.99,1
Gould,723,Germany,Male,52,5,131694.97,1,0,1,92873.5,1
Belisario,630,France,Male,50,8,0.0,2,0,1,79377.45,0
Mazzi,849,France,Female,41,6,0.0,2,1,1,169203.51,1
Alexander,792,Germany,Female,50,4,146710.76,1,1,0,16528.4,1
Lettiere,711,France,Female,25,5,190066.54,1,0,0,51345.39,1
Boylan,806,Spain,Male,18,3,0.0,2,1,1,86994.54,0
Robson,814,Germany,Male,44,8,95488.82,2,0,0,107013.59,0
Yudina,586,Germany,Male,34,9,74309.81,1,1,0,15034.93,0
Pauley,656,France,Male,38,10,0.0,1,1,1,136521.82,0
Otutodilichukwu,785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1
Kao,437,Spain,Male,28,2,109161.25,1,1,0,152987.42,0
Scott,472,Spain,Female,32,1,159397.75,1,0,1,57323.18,0
Yen,721,France,Male,35,10,0.0,2,1,0,71594.26,0
Milano,690,France,Male,36,7,101583.11,2,1,0,123775.15,0
Hsiao,681,Spain,Male,67,7,0.0,2,0,1,163714.92,0
Forbes,799,France,Female,32,3,106045.92,2,1,1,17938.0,0
Ma,633,France,Male,61,3,157201.48,1,0,1,50368.63,0
Muravyov,575,Spain,Female,31,6,0.0,2,1,1,95686.42,0
Thomas,633,Germany,Male,40,5,86172.81,2,1,1,117279.49,0
Wall,570,Germany,Male,38,1,127201.58,1,1,0,147168.28,1
T'ien,678,France,Female,46,1,0.0,2,0,0,82106.19,0
Power,670,Spain,Male,25,6,0.0,2,1,1,78358.94,0
Chikere,755,Germany,Female,37,0,113865.23,2,1,1,117396.25,0
Read,678,France,Female,26,1,0.0,2,1,0,45443.68,0
Brennan,720,France,Male,44,3,86102.27,1,1,0,180134.88,1
Brigstocke,604,France,Male,30,5,0.0,2,1,0,75786.55,0
Achebe,652,Spain,Male,58,6,0.0,2,0,1,170025.43,0
Ashton,767,France,Female,34,8,0.0,2,1,0,94767.77,0
Jamieson,481,Germany,Male,44,3,163714.52,1,1,0,96123.72,0
Pettit,653,France,Female,43,6,0.0,2,1,1,7330.59,0
Hardy,712,Spain,Female,48,8,0.0,2,1,0,183235.33,0
Genovesi,498,France,Male,73,2,170241.7,2,1,1,165407.96,0
Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
Winter-Irving,584,Germany,Male,47,7,130538.77,1,1,0,92915.84,0
Byrne,470,Spain,Male,30,4,125385.01,1,1,0,68293.93,0
Ndukaku,531,Spain,Male,27,8,132576.25,1,0,0,7222.92,0
McElroy,648,France,Male,33,7,134944.0,1,1,1,117036.38,0
Tochukwu,749,France,Male,30,1,0.0,2,0,1,126551.65,0
Ts'ui,850,Germany,Female,34,3,129668.43,2,1,1,88743.99,0
Fiorentino,494,Spain,Female,41,2,69974.66,2,1,0,188426.13,1
Alekseeva,513,France,Female,43,9,0.0,2,1,0,152499.8,0
Woods,677,Germany,Female,41,8,146720.98,2,1,1,4195.84,0
Blackburn,645,Spain,Male,49,2,0.0,2,0,0,10023.15,0
Chukwujamuike,538,Germany,Female,42,4,80380.24,1,1,0,119216.46,0
Windsor,850,Germany,Female,25,8,69385.17,2,1,0,87834.24,0
Freeman,543,Spain,Female,41,4,0.0,1,0,0,194902.16,0
Bailey,657,Germany,Male,40,7,99165.84,1,0,1,119333.95,1
Macartney,850,France,Female,35,1,211774.31,1,1,0,188574.12,1
Yefimov,768,Germany,Male,48,3,122831.58,1,1,1,24533.89,1
Fowler,666,France,Female,36,8,0.0,1,0,1,158666.99,0
Longo,552,France,Female,41,9,124349.34,1,1,0,135635.25,0
Atkins,656,France,Male,44,10,143571.52,1,0,0,127444.14,0
Ferrari,757,Germany,Female,43,5,131433.33,2,1,1,3497.43,1
Zotov,655,France,Male,37,6,109093.41,2,1,0,1775.52,0
Rossi,451,Spain,Female,23,9,0.0,2,0,1,48021.71,0
Turnbull,501,France,Male,40,4,125832.2,1,1,1,100433.83,0
Belstead,793,Spain,Male,38,9,0.0,2,1,0,88225.02,0
Chuang,820,Spain,Female,31,2,94222.53,1,1,0,103570.8,0
Moore,612,Germany,Female,47,6,130024.87,1,1,1,45750.21,1
Calabrese,618,Germany,Male,44,5,157955.83,2,0,0,139297.71,0
Azubuike,600,France,Male,49,7,90218.9,1,1,0,91347.76,0
Mao,608,France,Female,33,4,0.0,1,1,0,79304.38,1
Mai,624,Germany,Female,52,0,133723.43,1,0,0,4859.59,1
Pino,850,France,Male,38,1,0.0,2,1,1,80006.65,0
Warren,783,France,Male,38,9,114135.17,1,1,0,153269.98,0
Vincent,623,Germany,Male,33,8,96759.42,1,1,1,174777.98,0
McKissick,670,France,Male,33,1,0.0,2,1,1,86413.11,0
Mordvinova,659,Germany,Male,36,2,76190.48,2,1,1,149066.14,0
Tobenna,798,France,Female,60,6,96956.1,1,1,0,31907.44,1
Yang,850,France,Female,42,9,113311.11,1,1,1,198193.75,0
Cherkasova,714,Germany,Male,26,3,119545.48,2,1,0,65482.94,0
Colbert,617,France,Female,30,8,0.0,1,1,1,92621.9,0
Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
Tardent,493,France,Male,38,3,134006.77,1,1,0,89578.32,0
Wilhelm,544,France,Male,37,3,84496.71,1,0,0,79972.09,0
Hill,553,Spain,Female,39,1,142876.98,2,1,0,44363.42,0
Stephens,670,France,Female,42,1,115961.58,2,0,1,29483.87,0
Walker,741,Spain,Female,42,9,121056.63,2,1,0,39122.58,0
Chu,820,Germany,Male,39,9,111336.89,1,1,0,16770.31,1
Heydon,621,Germany,Male,47,7,107363.29,1,1,1,66799.28,0
Macfarlan,618,France,Male,48,7,0.0,1,1,0,13921.82,1
Ch'ang,591,Spain,Male,39,8,0.0,2,0,0,42392.24,0
Lombardo,554,Spain,Male,26,8,149134.46,1,1,1,177966.24,0
Peavy,560,France,Female,31,3,115141.18,1,1,0,39806.75,0
Napolitano,698,France,Male,37,5,98400.61,2,0,0,25017.28,0
Glover,561,Germany,Male,49,5,94754.0,1,1,1,26691.31,0
Rowley,756,France,Male,31,10,122647.32,1,0,0,61666.87,0
Sergeyev,619,Germany,Female,33,3,100488.92,2,0,1,36446.74,0
Montgomery,687,Spain,Male,38,8,69434.4,2,1,1,66580.13,1
Smith,697,Germany,Male,51,1,147910.3,1,1,1,53581.14,0
Rooke,594,Germany,Male,40,0,152092.44,2,1,1,83508.93,0
H?,640,France,Female,50,9,117565.03,2,0,0,82559.77,0
Lane,582,France,Male,29,4,0.0,2,0,0,156153.27,0
Fang,705,Spain,Female,57,3,0.0,2,1,1,34134.14,0
Cawthorne,688,France,Female,32,5,0.0,2,0,1,177607.77,0
Graham,528,France,Male,29,3,102787.42,1,1,0,55972.56,0
Tucker,526,France,Male,42,1,0.0,1,0,1,168486.02,0
Burns,525,France,Female,23,5,0.0,2,1,0,160249.1,0
Frye,815,France,Female,56,3,0.0,3,1,1,94248.16,1
Rickards,547,Germany,Female,30,9,72392.41,1,1,0,77077.14,0
Patterson,596,France,Male,42,7,0.0,2,1,1,121568.37,0
Wan,592,Spain,Male,45,8,84692.5,1,0,1,67214.02,0
Kennedy,526,Spain,Female,43,3,0.0,2,1,0,31705.19,0
Tychonoff,596,France,Male,37,2,0.0,1,0,1,121175.86,0
Chienezie,655,Germany,Female,37,4,108862.76,1,1,0,79555.08,1
Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
Bocharova,607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0
Calabresi,492,Germany,Female,38,8,57068.43,2,1,0,188974.81,0
Muir,576,Germany,Male,28,1,119336.29,2,0,1,58976.85,0
Fan,646,Germany,Male,24,0,92398.08,1,1,1,18897.29,0
Smith,592,France,Male,71,4,0.0,2,0,1,17013.54,0
Morrison,628,Spain,Female,39,8,107553.33,1,1,0,117523.41,0
Fallaci,491,Germany,Female,57,4,112044.72,1,1,1,41229.73,1
Maclean,745,Spain,Female,38,7,0.0,2,1,1,194230.82,0
Talbot,695,France,Male,37,2,0.0,2,1,1,99692.65,0
Findlay,595,Germany,Male,30,9,130682.11,2,1,1,57862.88,0
Wu,692,France,Male,29,4,0.0,1,1,0,76755.99,1
Lahti,731,France,Male,33,4,0.0,2,1,1,74945.11,0
Chimaijem,551,Germany,Female,30,2,143340.44,1,1,0,145796.49,0
Afanasyeva,726,France,Female,34,0,185734.75,1,1,1,102036.82,0
Zetticci,681,France,Female,29,2,148143.84,1,1,1,52021.39,0
Hudson,680,Spain,Female,31,9,119825.75,2,1,1,101139.3,0
Schiavone,591,France,Male,29,6,0.0,2,1,1,108684.65,0
Yuryeva,668,Germany,Female,59,5,120170.07,1,0,1,50454.8,0
Pinto,699,France,Male,28,7,0.0,2,1,1,22684.78,0
Niu,573,Germany,Male,30,8,127406.5,1,1,0,192950.6,0
Davey,786,France,Male,35,3,0.0,2,1,0,92712.97,0
Shen,688,Germany,Female,46,0,74458.25,1,0,1,6866.31,0
Li,798,France,Male,22,8,0.0,2,1,0,107615.43,0
Wong,741,Germany,Male,38,4,128015.83,1,1,0,58440.43,0
Gallo,823,France,Female,44,1,0.0,2,0,1,182495.7,0
Smith,611,France,Female,61,3,131583.59,4,0,1,66238.23,1
Chineze,631,France,Male,35,9,112392.45,2,1,0,24472.23,0
Chiemenam,631,France,Male,26,1,149144.61,1,0,1,123697.95,0
Montague,481,Spain,Male,39,1,111233.09,1,1,1,123995.15,0
Ma,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1
Sal,486,France,Male,26,2,0.0,2,1,1,31399.4,0
Milne,657,Spain,Female,22,6,0.0,3,0,1,168412.07,1
Sun,676,Spain,Male,35,0,0.0,2,0,0,139911.58,0
Muramats,620,France,Male,37,0,107548.94,1,1,0,71175.94,0
Trevisano,809,Germany,Male,41,1,79706.25,2,1,0,165675.01,0
Cran,582,Spain,Male,26,4,65848.36,2,1,0,30149.21,0
Roberts,674,France,Male,46,2,174701.05,1,1,0,90189.72,1
Li,588,France,Female,35,0,0.0,2,1,1,155485.24,0
